title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
김복동,다큐멘터리,한국,101분,2019 .08.08 개봉,송원근,"김복동(본인), 한지민(내레이션)",12세 관람가,"일본의 사죄를 받기 위한 김복동 할머니의 27년 간의 기나긴 여정
 포기할 수 없고, 포기해서도 안 될 희망을 위한 싸움
 결코 잊어서는 안될, 아직 끝나지 않은 이야기
 “희망을 잡고 살자. 나는 희망을 잡고 살아”",https://movie-phinf.pstatic.net/20190717_63/1563342156136uRGBR_JPEG/movie_image.jpg?type=m203_290_2
꼬마 물고기 이자벨: 바다 대모험,"애니메이션, 모험",미국,74분,2019 .07.18 개봉,사샤 버로우,"보니 데니슨, 토리 스펠링, 잭 워드",전체 관람가,"아쿠아리움에서 아빠와 오순도순 지내던 꼬마 물고기 '이자벨'
 독특한 외모로 인해 바다에 버려지게 되고,
 바다 속에는 어마무시한 물고기들이 위협하는데…
 
 과연, '이자벨'은 무사히 바다를 건너
 아쿠리아움으로 갈 수 있을까?",https://movie-phinf.pstatic.net/20190703_50/1562143435373plPrA_JPEG/movie_image.jpg?type=m203_290_2
나노 테러리즘: CIA 비밀요원,스릴러,미국,102분,2019 .11.08 개봉,마크 폴리쉬,"제임스 프레인, 다이아나 애그론, 앤디 가르시아",15세 관람가,"대규모 테러를 막는 미션 도중 코마 상태에 빠진 CIA 요원 ‘켈리’.
 CIA 국장 ‘제럴드’는 ‘켈리’가 입수한 기밀 정보를 뇌에서 추출하려 하지만,
 그것이 자신의 남편 ‘켈리’의 목숨까지 위험하게 만들 수 있다는
 사실을 안 ‘테스’는 이를 필사적으로 막으려 한다.
 
 그러던 어느 날, 의식불명인 ‘켈리’의 손이 조금씩 움직이며
 그녀에게 모스 부호를 보내기 시작하는데…
 
 비밀 임무 도중 코마에 빠진 CIA 요원!
 그의 머릿속에서 기밀 정보를 빼내야 한다!",https://movie-phinf.pstatic.net/20191025_16/1571967602160bjOKn_JPEG/movie_image.jpg?type=m203_290_2
나는 다른 언어로 꿈을 꾼다,드라마,멕시코,101분,2019 .03.07 개봉,에르네스토 콘트레라스,"페르난도 알바레스 레베일(마르틴), 호세 마누엘 폰셀리스(이사우로), 엘리지오 메렌데즈(에바리스토)",15세 관람가,"소멸 위기의 고대 토착 언어 ‘시크릴어’. 그러나 시크릴어를 구사하는 마지막 원어민, 이사우로와 에바리스토는 젊은 시절 크게 싸운 뒤 서로 말을 안 섞은 지 50년이 넘었다.
 젊은 언어학자 마르틴은 연구를 위해 이들을 설득하려 하지만 둘의 과거는 시크릴어의 비밀과 함께 숲 속 깊이 감추어져 있는데……
 50년이 넘도록 얽히고설킨 그들의 진짜 비밀이 드러난다.",https://movie-phinf.pstatic.net/20190215_267/1550212226741FTHmV_JPEG/movie_image.jpg?type=m203_290_2
나는 예수님이 싫다,드라마,일본,76분,2019 .08.08 개봉,오쿠야마 히로시,"사토 유라(호시노 유라), 오오쿠마 리키(오오쿠마 카즈마), 채드 멀레인(작은 예수님)",전체 관람가,"도쿄에서 한적한 시골 마을로 전학 오게 된 소년 '유라'
 모든 게 낯설기만 한 어느 날, '유라' 앞에 작은 예수님이 나타난다.
 
 “이 학교에서 친구가 생기게 해주세요”
 
 '유라'는 자신의 소원을 들어주는 작은 예수님과
 하루하루 아주 특별한 일상을 보내게 된다.
 
 그러던 어느 날, '유라'의 일상을 뒤흔들
 예기치 못한 사건이 벌어지게 되는데...",https://movie-phinf.pstatic.net/20190712_63/1562914586169M8ptL_JPEG/movie_image.jpg?type=m203_290_2
나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,드라마,한국,87분,2019 .06.01 개봉,배기원,"이종철(변감독), 조하영(지현), 이민아(사라)",12세 관람가,"대전에서 활동하는 변감독은 시나리오 수업으로 생계를 근근이 유지한다.
 그러던 어느 날. 변감독은 자신의 단편영화가 칸 영화제 쇼트필름코너에 상영된다는 소식을 듣게 된다.
 하지만 기쁨도 잠시, 변감독의 주변에서는 예상치 않던 일들이 자꾸 벌어지고 우여곡절 끝에 간 프랑스에서 수상한 여배우 ‘사라’를 만나 영화를 찍게 된다.",https://movie-phinf.pstatic.net/20190423_267/1555997380934BRFKz_JPEG/movie_image.jpg?type=m203_290_2
나랏말싸미,드라마,한국,110분,2019 .07.24 개봉,조철현,"송강호(세종대왕), 박해일(신미 스님), 전미선(소헌왕후)",전체 관람가,"문자와 지식을 권력으로 독점했던 시대
 모든 신하들의 반대에 무릅쓰고, 훈민정음을 창제했던 세종의 마지막 8년.
 나라의 가장 고귀한 임금 ‘세종’과 가장 천한 신분 스님 ‘신미’가 만나
 백성을 위해 뜻을 모아 나라의 글자를 만들기 시작한다.
 모두가 알고 있지만 아무도 모르는 한글 창제의 숨겨진 이야기!
 
 1443, 불굴의 신념으로 한글을 만들었으나
 역사에 기록되지 못한 그들의 이야기가 시작된다.",https://movie-phinf.pstatic.net/20190722_100/1563762337429ztWu1_JPEG/movie_image.jpg?type=m203_290_2
나를 찾아줘,스릴러,한국,108분,2019 .11.27 개봉,김승우,"이영애(정연), 유재명(홍경장), 박해준(명국)",15세 관람가,"6년 전 실종된 아들을 봤다는 연락을 받은 ‘정연’(이영애).
 숱하게 반복되던 거짓 제보와 달리
 생김새부터 흉터까지 똑같은 아이를 봤다는 낯선 이의 이야기에
 ‘정연’은 지체 없이 홀로 낯선 곳으로 향한다.
 
 하지만 자신의 등장을 경계하는 듯한 경찰 ‘홍경장’(유재명)과
 비슷한 아이를 본 적도 없다는 마을 사람들.
 그들이 뭔가 숨기고 있음을 직감한 ‘정연’은
 포기하지 않고 진실을 찾기 시작하는데…
 
 6년 전 사라진 아이
 그리고 낯선 사람들
 모두가 숨기고 있다",https://movie-phinf.pstatic.net/20191107_207/15730934347025pUuS_JPEG/movie_image.jpg?type=m203_290_2
나만 없어 고양이,"가족, 판타지, 드라마",한국,97분,2019 .08.22 개봉,"복운석, 신혜진","김소희(나래), 허정도(김과장), 권수정(오수정)",전체 관람가,"생애 첫 이별을 극복 중인 20살 청춘 나래 집사에겐 사랑가득 남친냥이 ♥사랑이,
 갑작스럽게 직장을 잃은 기러기 아빠 김과장에겐 희망가득 홉냥이 ♥복댕이,
 고양이 동생을 키우고 싶은 발레 소녀 수정이에겐 멋짐가득 낭만냥이 ♥수연이,
 어쩌다 고양이 아내를 둔 할아버지 석봉 집사에겐 정이가득 여보냥이 ♥순자…
 
 기쁘고, 화나고, 슬프고, 즐거운 이 모든 감정을 보는 순간 빠져드는 ♥갓냥이들과 함께 하세요.",https://movie-phinf.pstatic.net/20190722_46/15637617991017GsHL_JPEG/movie_image.jpg?type=m203_290_2
나쁜 녀석들: 더 무비,"범죄, 액션",한국,114분,2019 .09.11 개봉,손용호,"마동석(박웅철), 김상중(오구탁), 김아중(곽노순)",15세 관람가,"죄수들이 탈출했다!
 교도소 호송차량이 전복되고 최악의 범죄자들이 탈주하는 사상 초유의 사건이 발생한다.
 이에 경찰은 수감 중인 범죄자가 흉악범을 잡는 극비 프로젝트인 ‘특수범죄수사과’를 다시 소집한다.
 
 미친개... 다시 풉시다!
 ‘오구탁’(김상중) 반장은 과거 함께 활약했던 전설의 주먹 ‘박웅철’(마동석)을 찾아가고,
 감성 사기꾼 ‘곽노순’(김아중)과 전직 형사 ‘고유성’(장기용)을 영입해 새로운 팀을 구성한다.
 
 새로운 멤버들이 합류해 더욱 강력하고 치밀하고 독해진 나쁜 녀석들.
 이 사건을 파헤칠수록 배후에 거대한 범죄조직이 있다는 것을 직감한 그들은
 더 나쁜 놈들을 소탕하기 위해 움직이기 시작하는데…
 
 나쁜 녀석들의 법 없는 검거작전!
 놈들처럼 생각하고 놈들처럼 행동할 그들이 온다!",https://movie-phinf.pstatic.net/20190910_213/1568079594808C8bae_JPEG/movie_image.jpg?type=m203_290_2
